DATE,STATE_CD,PREDICTION,
16-Aug,TG,2469,
16-Aug,TN,6825,
16-Aug,TR,154,
16-Aug,UP,5843,
16-Aug,UT,300,
16-Aug,WB,3235,
17-Aug,AN,157,
17-Aug,AP,11395,
17-Aug,AR,102,
17-Aug,AS,3091,
17-Aug,BR,4556,
17-Aug,CH,77,
17-Aug,CT,386,
17-Aug,DD,49,
17-Aug,DL,1066,
17-Aug,GA,390,
17-Aug,GJ,1152,
17-Aug,HP,90,
17-Aug,HR,784,
17-Aug,JH,1162,
17-Aug,JK,529,
17-Aug,KA,7224,
17-Aug,KL,1465,
17-Aug,LA,31,
17-Aug,MH,10770,
17-Aug,ML,37,
17-Aug,MN,202,
17-Aug,MP,875,
17-Aug,MZ,21,
17-Aug,NL,157,
17-Aug,OR,2753,
17-Aug,PB,1427,
17-Aug,PY,313,
17-Aug,RJ,1347,
17-Aug,SK,21,
17-Aug,TG,2508,
17-Aug,TN,6865,
17-Aug,TR,157,
17-Aug,UP,6185,
17-Aug,UT,294,
17-Aug,WB,3278,
18-Aug,AN,162,
18-Aug,AP,11513,
18-Aug,AR,106,
18-Aug,AS,3096,
18-Aug,BR,4689,
18-Aug,CH,79,
18-Aug,CT,423,
18-Aug,DD,50,
18-Aug,DL,1145,
18-Aug,GA,400,
18-Aug,GJ,1162,
18-Aug,HP,92,
18-Aug,HR,789,
18-Aug,JH,1147,
18-Aug,JK,545,
18-Aug,KA,7484,
18-Aug,KL,1500,
18-Aug,LA,33,
18-Aug,MH,10646,
18-Aug,ML,39,
18-Aug,MN,208,
18-Aug,MP,873,
18-Aug,MZ,22,
18-Aug,NL,162,
18-Aug,OR,2936,
18-Aug,PB,1479,
18-Aug,PY,323,
18-Aug,RJ,1371,
18-Aug,SK,21,
18-Aug,TG,2548,
18-Aug,TN,6891,
18-Aug,TR,161,
18-Aug,UP,6402,
18-Aug,UT,304,
18-Aug,WB,3320,
19-Aug,AN,167,
19-Aug,AP,11628,
19-Aug,AR,106,
19-Aug,AS,3094,
19-Aug,BR,4858,
19-Aug,CH,81,
19-Aug,CT,426,
19-Aug,DD,50,
19-Aug,DL,1151,
19-Aug,GA,412,
19-Aug,GJ,1170,
19-Aug,HP,96,
19-Aug,HR,795,
19-Aug,JH,1186,
19-Aug,JK,542,
19-Aug,KA,7577,
19-Aug,KL,1535,
19-Aug,LA,34,
19-Aug,MH,11507,
19-Aug,ML,40,
19-Aug,MN,214,
19-Aug,MP,901,
19-Aug,MZ,22,
19-Aug,NL,169,
19-Aug,OR,3051,
19-Aug,PB,1532,
19-Aug,PY,336,
19-Aug,RJ,1395,
19-Aug,SK,21,
19-Aug,TG,2588,
19-Aug,TN,7004,
19-Aug,TR,162,
19-Aug,UP,6555,
19-Aug,UT,301,
19-Aug,WB,3362,
20-Aug,AN,172,
20-Aug,AP,11742,
20-Aug,AR,108,
20-Aug,AS,3364,
20-Aug,BR,5174,
20-Aug,CH,84,
20-Aug,CT,482,
20-Aug,DD,51,
20-Aug,DL,1147,
20-Aug,GA,423,
20-Aug,GJ,1177,
20-Aug,HP,106,
20-Aug,HR,801,
20-Aug,JH,1175,
20-Aug,JK,571,
20-Aug,KA,7858,
20-Aug,KL,1574,
20-Aug,LA,34,
20-Aug,MH,11905,
20-Aug,ML,41,
20-Aug,MN,221,
20-Aug,MP,908,
20-Aug,MZ,22,
20-Aug,NL,174,
20-Aug,OR,3202,
20-Aug,PB,1588,
20-Aug,PY,347,
20-Aug,RJ,1420,
20-Aug,SK,21,
20-Aug,TG,2628,
20-Aug,TN,7187,
20-Aug,TR,160,
20-Aug,UP,7025,
20-Aug,UT,294,
20-Aug,WB,3405,
21-Aug,AN,177,
21-Aug,AP,11853,
21-Aug,AR,111,
21-Aug,AS,3439,
21-Aug,BR,5567,
21-Aug,CH,88,
21-Aug,CT,521,
21-Aug,DD,51,
21-Aug,DL,1144,
21-Aug,GA,434,
21-Aug,GJ,1180,
21-Aug,HP,107,
21-Aug,HR,810,
21-Aug,JH,1248,
21-Aug,JK,584,
21-Aug,KA,7833,
21-Aug,KL,1622,
21-Aug,LA,36,
21-Aug,MH,11794,
21-Aug,ML,43,
21-Aug,MN,227,
21-Aug,MP,916,
21-Aug,MZ,23,
21-Aug,NL,191,
21-Aug,OR,3382,
21-Aug,PB,1640,
21-Aug,PY,359,
21-Aug,RJ,1445,
21-Aug,SK,21,
21-Aug,TG,2668,
21-Aug,TN,7281,
21-Aug,TR,168,
21-Aug,UP,7345,
21-Aug,UT,297,
21-Aug,WB,3447,
22-Aug,AN,182,
22-Aug,AP,11964,
22-Aug,AR,113,
22-Aug,AS,3333,
22-Aug,BR,5534,
22-Aug,CH,92,
22-Aug,CT,487,
22-Aug,DD,52,
22-Aug,DL,1129,
22-Aug,GA,445,
22-Aug,GJ,1183,
22-Aug,HP,113,
22-Aug,HR,816,
22-Aug,JH,1276,
22-Aug,JK,603,
22-Aug,KA,7912,
22-Aug,KL,1671,
22-Aug,LA,37,
22-Aug,MH,11948,
22-Aug,ML,43,
22-Aug,MN,233,
22-Aug,MP,923,
22-Aug,MZ,23,
22-Aug,NL,204,
22-Aug,OR,3551,
22-Aug,PB,1692,
22-Aug,PY,373,
22-Aug,RJ,1472,
22-Aug,SK,21,
22-Aug,TG,2708,
22-Aug,TN,7476,
22-Aug,TR,186,
22-Aug,UP,7319,
22-Aug,UT,299,
22-Aug,WB,3489,
23-Aug,AN,187,
23-Aug,AP,12072,
23-Aug,AR,118,
23-Aug,AS,3435,
23-Aug,BR,5575,
23-Aug,CH,97,
23-Aug,CT,511,
23-Aug,DD,52,
23-Aug,DL,1083,
23-Aug,GA,459,
23-Aug,GJ,1186,
23-Aug,HP,126,
23-Aug,HR,822,
23-Aug,JH,1243,
23-Aug,JK,638,
23-Aug,KA,8004,
23-Aug,KL,1727,
23-Aug,LA,36,
23-Aug,MH,12033,
23-Aug,ML,43,
23-Aug,MN,240,
23-Aug,MP,1013,
23-Aug,MZ,24,
23-Aug,NL,202,
23-Aug,OR,3677,
23-Aug,PB,1745,
23-Aug,PY,383,
23-Aug,RJ,1498,
23-Aug,SK,21,
23-Aug,TG,2748,
23-Aug,TN,7594,
23-Aug,TR,192,
23-Aug,UP,8054,
23-Aug,UT,293,
23-Aug,WB,3532,
24-Aug,AN,192,
24-Aug,AP,12178,
24-Aug,AR,124,
24-Aug,AS,3623,
24-Aug,BR,6164,
24-Aug,CH,100,
24-Aug,CT,511,
24-Aug,DD,53,
24-Aug,DL,1013,
24-Aug,GA,473,
24-Aug,GJ,1181,
24-Aug,HP,125,
24-Aug,HR,827,
24-Aug,JH,1370,
24-Aug,JK,670,
24-Aug,KA,7954,
24-Aug,KL,1787,
24-Aug,LA,37,
24-Aug,MH,11525,
24-Aug,ML,43,
24-Aug,MN,246,
24-Aug,MP,954,
24-Aug,MZ,24,
24-Aug,NL,210,
24-Aug,OR,3773,
24-Aug,PB,1803,
24-Aug,PY,402,
24-Aug,RJ,1523,
24-Aug,SK,21,
24-Aug,TG,2788,
24-Aug,TN,7633,
24-Aug,TR,200,
24-Aug,UP,8227,
24-Aug,UT,292,
24-Aug,WB,3574,
25-Aug,AN,197,
25-Aug,AP,12282,
25-Aug,AR,131,
25-Aug,AS,3714,
25-Aug,BR,6529,
25-Aug,CH,104,
25-Aug,CT,545,
25-Aug,DD,53,
25-Aug,DL,1059,
25-Aug,GA,492,
25-Aug,GJ,1190,
25-Aug,HP,128,
25-Aug,HR,834,
25-Aug,JH,1346,
25-Aug,JK,717,
25-Aug,KA,8229,
25-Aug,KL,1847,
25-Aug,LA,39,
25-Aug,MH,11404,
25-Aug,ML,43,
25-Aug,MN,252,
25-Aug,MP,963,
25-Aug,MZ,25,
25-Aug,NL,227,
25-Aug,OR,3896,
25-Aug,PB,1861,
25-Aug,PY,414,
25-Aug,RJ,1551,
25-Aug,SK,21,
25-Aug,TG,2827,
25-Aug,TN,7655,
25-Aug,TR,208,
25-Aug,UP,8319,
25-Aug,UT,301,
25-Aug,WB,3616,
26-Aug,AN,202,
26-Aug,AP,12385,
26-Aug,AR,145,
26-Aug,AS,3769,
26-Aug,BR,6710,
26-Aug,CH,109,
26-Aug,CT,540,
26-Aug,DD,54,
26-Aug,DL,1072,
26-Aug,GA,516,
26-Aug,GJ,1198,
26-Aug,HP,139,
26-Aug,HR,841,
26-Aug,JH,1386,
26-Aug,JK,735,
26-Aug,KA,8321,
26-Aug,KL,1921,
26-Aug,LA,39,
26-Aug,MH,12167,
26-Aug,ML,44,
26-Aug,MN,258,
26-Aug,MP,1001,
26-Aug,MZ,25,
26-Aug,NL,223,
26-Aug,OR,4044,
26-Aug,PB,1916,
26-Aug,PY,428,
26-Aug,RJ,1579,
26-Aug,SK,21,
26-Aug,TG,2867,
26-Aug,TN,7774,
26-Aug,TR,240,
26-Aug,UP,8998,
26-Aug,UT,304,
26-Aug,WB,3659,
27-Aug,AN,207,
27-Aug,AP,12486,
27-Aug,AR,158,
27-Aug,AS,3864,
27-Aug,BR,6886,
27-Aug,CH,116,
27-Aug,CT,581,
27-Aug,DD,54,
27-Aug,DL,1074,
27-Aug,GA,538,
27-Aug,GJ,1204,
27-Aug,HP,142,
27-Aug,HR,849,
27-Aug,JH,1369,
27-Aug,JK,779,
27-Aug,KA,8620,
27-Aug,KL,2003,
27-Aug,LA,38,
27-Aug,MH,12545,
27-Aug,ML,46,
27-Aug,MN,265,
27-Aug,MP,1023,
27-Aug,MZ,26,
27-Aug,NL,213,
27-Aug,OR,4202,
27-Aug,PB,1967,
27-Aug,PY,447,
27-Aug,RJ,1601,
27-Aug,SK,21,
27-Aug,TG,2907,
27-Aug,TN,7970,
27-Aug,TR,256,
27-Aug,UP,9160,
27-Aug,UT,306,
27-Aug,WB,3701,
